scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,link,date_original
2023-12-27,22:19,sports,スポーツ,1,スポーツ報知,元Ｋ―１戦士タケルさん５１歳で急逝…急性多臓器不全のため…９０年代にジェロム・レ・バンナらと対戦,https://news.yahoo.co.jp/articles/63c677e73e67e14bc001a0efb72727ef340a3c24,12/27(水) 8:41
2023-12-27,22:19,sports,スポーツ,2,4years.,マネージャーで入部、遊びで投げたら151キロ計測　「まだ野球人生があるかも」と選手に復帰し、めざすプロ野球,https://news.yahoo.co.jp/articles/be360d8eb4e6e757821f85f1c8dcc9d4123facf1,12/27(水) 11:42
2023-12-27,22:19,sports,スポーツ,3,サンケイスポーツ,井上尚弥、来年は３戦希望　５月に東京ドームでネリ、９月にサウジでアフマダリエフとの対戦浮上,https://news.yahoo.co.jp/articles/9d6a803db07d05a63080e4b537da788e25517322,12/27(水) 18:33
2023-12-27,22:19,sports,スポーツ,4,バスケットボールキング,藤枝明誠が2点差で前年王者・開志国際を下す…ロードプリンスが19得点32リバウンド/ウインターカップ2023,https://news.yahoo.co.jp/articles/c5a830a94cf6e3d28b48896e1004ecb25e18f5d5,12/27(水) 20:40
2023-12-27,22:19,sports,スポーツ,5,CoCoKARAnext,「不愛想な態度だって取れる」ド軍に195億円で移籍の怪腕グラスノーが語った大谷翔平の「本当に凄いこと」,https://news.yahoo.co.jp/articles/28a06335249bb2ec6b9ccb1d9fb028a39a2049b4,12/27(水) 17:31
2023-12-27,22:19,sports,スポーツ,6,デイリースポーツ,ＢＤ炎上常習選手がまた暴言「井上尚弥勝ったん？あいつ喧嘩弱いからなぁ～」　ネット激怒「格闘技を冒涜するのやめて下さい」「不快すぎる」,https://news.yahoo.co.jp/articles/ba0bf639c27953ffaaaaaacbc5faaeb54a122566,12/27(水) 11:56
2023-12-27,22:19,sports,スポーツ,7,Full-Count,エース退団も…オリ投手陣に尽きない“逸材たち”　160キロ新人王＆負けない男,https://news.yahoo.co.jp/articles/418221da07b02038a753a8dea69d8e0e1d1f9923,12/27(水) 19:45
2023-12-27,22:19,sports,スポーツ,8,デイリースポーツ,大谷同僚のフリーマン　豪華なクリスマス家族写真に反響「なんて美しい家族でしょう」元女優の妻、３人の男の子も,https://news.yahoo.co.jp/articles/66ff8e7fe7237088f434ac8e02dcbdcbe2f850c1,12/27(水) 21:07
2023-12-27,22:19,sports,スポーツ,9,スポニチアネックス,有馬記念12着スルーセブンシーズ、骨折が判明　引退…繁殖入り,https://news.yahoo.co.jp/articles/f5d32b2f711d7dc85c7264808ecf9016f38daa2e,12/27(水) 17:48
2023-12-27,22:19,sports,スポーツ,10,J-CASTニュース,「酷い妄想」羽生結弦、一部報道への公開反論にファン騒然　「無言貫いてきたイメージが」「ここまで言わせるか」,https://news.yahoo.co.jp/articles/cdf7f9e37bd986c60e13c9835b0a9bde7f127482,12/27(水) 11:24
2023-12-27,22:19,sports,スポーツ,11,デイリースポーツ,「育成選手はプロ野球選手じゃない」ソフトバンクＯＢも言及　「全くその通り」「勘違いしてはいけない」,https://news.yahoo.co.jp/articles/b35d77e974083d2ff78635c66325f0e42bab3529,12/27(水) 19:35
2023-12-27,22:19,sports,スポーツ,12,netkeiba.com,霜降り明星・粗品がホープフルSで3連単540点の大勝負！ 「今回は大穴でいきます」と計54万円分購入,https://news.yahoo.co.jp/articles/1ea7ad52c56c019fa579baada96cd7e25dd1612f,12/27(水) 21:26
2023-12-27,22:19,sports,スポーツ,13,ENCOUNT,井上尚弥に「喧嘩なら勝てる」　BreakingDown“最強喧嘩師”に批判殺到「だから馬鹿にされる」,https://news.yahoo.co.jp/articles/ac684bf9fdbdd8845a70685eefe9b5825ec80d83,12/27(水) 21:03
2023-12-27,22:19,sports,スポーツ,14,Full-Count,山本由伸のド軍契約報道から5日…なぜ正式発表されない？　MLBならではのジレンマ,https://news.yahoo.co.jp/articles/a93a65c652f7f26905f00e30aaccc00fd39d4f54,12/27(水) 14:37
2023-12-27,22:19,sports,スポーツ,15,東スポWEB,中国で早田ひな人気沸騰「第２の石川佳純」 孫穎莎と〝ラーメン店〟のキズナ,https://news.yahoo.co.jp/articles/1136227d3aeff040a685ee6ac58732539b7374fa,12/27(水) 19:41
2023-12-27,22:19,sports,スポーツ,16,ゲキサカ,南葛SCのFWエリキ獲得にファンざわつく「四度見した」「今年一驚かされた」「サーバー落ちてる」,https://news.yahoo.co.jp/articles/5a67bf429023885bb671b38d057d90e254e95330,12/27(水) 16:27
2023-12-27,22:19,sports,スポーツ,17,Full-Count,巨人外野手は年俸1.7億円減…トレード→戦力外で出戻りも　FAから5年で明暗くっきり,https://news.yahoo.co.jp/articles/ecb87b5b6d4024ceaaacec5c183c062903458749,12/27(水) 13:17
2023-12-27,22:19,sports,スポーツ,18,西スポWEB OTTO！,「頭がでかいんじゃ」日本ハム郡司裕也のデカさが伝わる驚愕の2ショットを元同僚が公開　中日時代はチーム1の大きさ,https://news.yahoo.co.jp/articles/8031e1bea6df8e99e0d6a44157dc4a296de19c8f,12/27(水) 19:23
2023-12-27,22:19,sports,スポーツ,19,GOAL,金子拓郎に早くもステップアップの可能性？堂安律が所属するフライブルクが12億円超のオファーを準備と現地報道,https://news.yahoo.co.jp/articles/2f2c95e642882bf153d5bea1c9429dae815caf0d,12/27(水) 18:03
2023-12-27,22:19,sports,スポーツ,20,優馬,【ホープフルS】「連対率100％」の鉄板データに当てはまる“厳選1頭”とは！？,https://news.yahoo.co.jp/articles/c2208a43ea0ae619e19d923c4877423d7a2f2a82,12/27(水) 18:20
2023-12-27,22:19,sports,スポーツ,21,デイリースポーツ,ＫＯ陥落のタパレス　傷だらけの顔で今後の井上の相手に助言「幸運を」　井上尚弥の速さに脱帽　英雄パッキャオから労い「相手はＰＦＰだから」,https://news.yahoo.co.jp/articles/dd74c610be32d48d2d9579c2c3dbf9a9c66fa0fb,12/26(火) 21:39
2023-12-27,22:19,sports,スポーツ,22,Full-Count,楽天が防御率1点台左腕を獲得　2日連続で投手補強…独立2球団にも動き、27日の去就,https://news.yahoo.co.jp/articles/52cacd7a92d650f9541579aadc41277e34d8dd5a,12/27(水) 20:36
2023-12-27,22:19,sports,スポーツ,23,イーファイト,【訃報】K-1ヘビー級戦士タケルが死去、佐竹、武蔵に続いた第三の男,https://news.yahoo.co.jp/articles/88dc0d321f2ab862c0b5fe1103a5fb8bbae9dc44,12/27(水) 11:52
2023-12-27,22:19,sports,スポーツ,24,バスケットボールキング,2023－24シーズンのNBAで最も期待外れな契約5選,https://news.yahoo.co.jp/articles/1b02c023aaa59c032645cdeaffcc73b9c2bb3d92,12/27(水) 21:00
2023-12-27,22:19,sports,スポーツ,25,ゴング格闘技,【訃報】元K-1日本人ヘビー級ファイターのタケルが51歳で死去、佐竹雅昭・武蔵に次ぐ第三の男として活躍,https://news.yahoo.co.jp/articles/39cacf30ce92cad424c71bce91f4f559fae98238,12/27(水) 12:14
2023-12-27,22:19,sports,スポーツ,26,東スポWEB,【大相撲】鶴竜親方が陸奥部屋から独立　年寄「音羽山」を襲名して部屋を新設,https://news.yahoo.co.jp/articles/32406e09bc7b65e3f06dca4c7e65c0befdd38980,12/27(水) 17:56
2023-12-27,22:19,sports,スポーツ,27,中日スポーツ,ヤクルト・村上宗隆のメジャー挑戦に球団代表「日本でいい成績を出さないことにはオファーが届かない」,https://news.yahoo.co.jp/articles/299a5bc24f7891fa2d2ef31e3d85d1f39698787d,12/27(水) 18:07
2023-12-27,22:19,sports,スポーツ,28,月刊陸上競技,名城大が6連覇なるか!?大東大、立命大、日体大、大阪学大、拓大に注目／富士山女子駅伝,https://news.yahoo.co.jp/articles/9a3df75a6d721a06467ae060bfb49588622dd421,12/27(水) 18:44
2023-12-27,22:19,sports,スポーツ,29,西スポWEB OTTO！,阪神・梅野隆太郎が元ソフトバンク守護神の整骨院訪問　村上頌樹も出没!?　写真にうつる人物が話題に　ファン「ご兄弟？」,https://news.yahoo.co.jp/articles/631e840ebf837177b91d7e07c55dd585d26c2f9f,12/27(水) 18:10
2023-12-27,22:19,sports,スポーツ,30,競馬のおはなし,武豊騎手 今週の騎乗馬…G1完全制覇なるか！？,https://news.yahoo.co.jp/articles/5e157b6452c218aa6726c270287a5014b901cf8d,12/27(水) 20:45
2023-12-27,22:19,sports,スポーツ,31,日テレNEWS NNN,【高校バスケ】ウインターカップ男子4強決まる　前回王者の開志国際敗れる,https://news.yahoo.co.jp/articles/8cc8c6ed2cd6577de3cff341cd6d106d178baba5,12/27(水) 20:39
2023-12-27,22:19,sports,スポーツ,32,デイリースポーツ,日本ハム・万波中正　「弾丸帰省」で乗車したクラシックカーが激シブ　「似合いすぎ」「憧れの車やー」の声,https://news.yahoo.co.jp/articles/49a4bb3849aff4571ed64cc4e6f36f97501b153d,12/27(水) 20:26
2023-12-27,22:19,sports,スポーツ,33,東スポWEB,井上尚弥に〝階級の壁〟　元世界２階級制覇王者・畑山隆則氏が指摘「相手は耐えてるもんね」,https://news.yahoo.co.jp/articles/01148a4debd5ed5e467c94fe888f9990fada9f15,12/26(火) 22:36
2023-12-27,22:19,sports,スポーツ,34,西スポWEB OTTO！,JFLクラブに移籍発表の元アビスパ福岡DFの風貌が話題に　ファン「アビから出るとこうなるのか」「なんかすごく心強い」「中村航輔？」,https://news.yahoo.co.jp/articles/fc3cb49827337498a2acd056bdcbc9c0cdbc5d03,12/27(水) 21:34
2023-12-27,22:19,sports,スポーツ,35,西スポWEB OTTO！,残り27秒で逆転3点シュート、福岡第一がエース崎浜秀斗の活躍で劇的4強　東山を下す【ウインターカップ】,https://news.yahoo.co.jp/articles/8336683e6f2d0e8f5183b6fead2bc101a9bf8be1,12/27(水) 19:01
2023-12-27,22:19,sports,スポーツ,36,スポニチアネックス,挑戦権保持しているアフマダリエフ　4団体統一を果たした井上尚弥へ対戦要求！「素晴らしい戦いになる」,https://news.yahoo.co.jp/articles/39b109bdc9a2e74b0b4b8f078494ec95ba72c97b,12/26(火) 22:04
2023-12-27,22:19,sports,スポーツ,37,サッカー批評Web,「最後までやっぱりかっこよかった」川崎・登里享平が退団するチームメイトに流した涙のワケ。「目に焼き付けたい」と話した“ラストダンス”【記憶に残った2023年取材現場（2）】,https://news.yahoo.co.jp/articles/86abefd155ab32d0c0cae2623da784e2790a9256,12/27(水) 20:31
2023-12-27,22:19,sports,スポーツ,38,デイリースポーツ,井上尚弥　１０回ＫＯ勝ちも「苦戦」の見方に苦笑い「相手のタパレスもチャンピオンですよ」,https://news.yahoo.co.jp/articles/65464b4602447fa7c1a5f4ab80635e1c76a8f530,12/27(水) 20:59
2023-12-27,22:19,sports,スポーツ,39,Full-Count,大谷翔平は来季「4冠王もある」　元MLB左腕が断言…タイトル席巻は「余裕である」,https://news.yahoo.co.jp/articles/c26a64cceb6254f61370ad1843b3ee59aa453293,12/27(水) 18:58
2023-12-27,22:19,sports,スポーツ,40,高校野球ドットコム,プロ入り11人！ 強豪大学進学！ 超豪華・今年のU-18高校日本代表候補一覧,https://news.yahoo.co.jp/articles/2ad2c2043c84a97817d5b50737a673502ea6d324,12/27(水) 18:02
