Scrape Time,Genre EN,Genre JP,Rank,Media,Title,Link,Date
2023_1206_1512,it-science,IT・科学,1,BuzzFeed Japan,AIで作った“偽新聞”がリアルすぎて危険なレベル。「何気なく手渡されたら絶対信じてしまうと思う」あなたは“違和感”に気付けますか？,https://news.yahoo.co.jp/articles/7742f457581d40642650ab382b7664e43447d359,12/6(水) 14:00
2023_1206_1512,it-science,IT・科学,2,テクノエッジ,再生数稼ぎに飛行機を落とした「奇跡の生還」YouTuberに懲役6か月の判決,https://news.yahoo.co.jp/articles/dface150afc5eb1fd2f215fe500cfdc4a610a6ba,12/6(水) 13:45
2023_1206_1512,it-science,IT・科学,3,アスキー,JR東日本、1万円で全線1日乗り放題　新幹線や特急も利用可能,https://news.yahoo.co.jp/articles/13e4536d1d6323084368550e1f6045c304b9593c,12/6(水) 7:45
2023_1206_1512,it-science,IT・科学,4,テクノエッジ,予期せぬPlayStation Networkアカウント永久停止通告が多数のユーザーに届く。利用規約の改訂に伴う不具合か,https://news.yahoo.co.jp/articles/4beffae6a2d0fe65a547b8e129b1b910deba8c0f,12/5(火) 18:05
2023_1206_1512,it-science,IT・科学,5,ITmedia NEWS,「なんでも鑑定団」に“初代iPod”登場　評価額はどのくらい？　「大事なのはビニール」,https://news.yahoo.co.jp/articles/c78d3a860c4e755faa6a92a5e1cc348c9e3ea9fa,12/6(水) 12:40
2023_1206_1512,it-science,IT・科学,6,withnews,スズメの平均寿命は約1年… 寒くてエサのない冬を越せる〝エリート〟に「見る目変わった」,https://news.yahoo.co.jp/articles/88dfdc470a3dfb3cd895ca94b065032cfe59d0e8,12/6(水) 7:10
2023_1206_1512,it-science,IT・科学,7,時事通信,「貧血」という言葉の誤用　患者さんが間違いやすい医学用語【教えて！けいゆう先生】,https://news.yahoo.co.jp/articles/5cce8ae28085761b3b0d330747729a19f22b940c,12/6(水) 14:00
2023_1206_1512,it-science,IT・科学,8,ITmedia Mobile,“金属ボディー”のスマホが減った理由　市場トレンドの変遷が素材にも影響,https://news.yahoo.co.jp/articles/839ebd7b45f66ef098702cd2acbb07a237d740dc,12/6(水) 10:16
2023_1206_1512,it-science,IT・科学,9,BuzzFeed Japan,「うそだと思った」3世代続けて同じ誕生日！お母さんも驚きを隠せず,https://news.yahoo.co.jp/articles/905eabc5a5aa52a665f476cb18075d841ef6b7ed,12/6(水) 12:10
2023_1206_1512,it-science,IT・科学,10,ケータイ Watch,ドコモ、「Xperia 1 IV」7.7万円引きと「あんしんスマホ」2.2万円引きは本日6日で終了,https://news.yahoo.co.jp/articles/51b20b39a26bf1838e976ed1a445188c7ab73aef,12/6(水) 13:04
2023_1206_1512,it-science,IT・科学,11,ITmedia Mobile,mineo、2024年に長期利用特典を復活へ　電気通信事業法の“規制対象外”を受けて,https://news.yahoo.co.jp/articles/5f1ba4809c7f6675e35d131fbdd7c07a2aaef904,12/6(水) 13:05
2023_1206_1512,it-science,IT・科学,12,あたらしい経済,"ブラックロックのビットコインETF、シード資金で約1,473万円の調達",https://news.yahoo.co.jp/articles/9a2b01c55fecc7a1ed1b2388944efb9bf13b82c1,12/6(水) 13:57
2023_1206_1512,it-science,IT・科学,13,BCN,ついにここまで来た！　完成度の高すぎる「老けメイク」に視聴者もビックリ,https://news.yahoo.co.jp/articles/d27fbebac10a45cf11f77cbb818c3e059cb1c236,12/6(水) 12:30
2023_1206_1512,it-science,IT・科学,14,CNET Japan,電話加入権「国民に返す議論あって当然」--NTT完全民営化でソフトバンク宮川社長,https://news.yahoo.co.jp/articles/39418f11896fa9985ff0528a9212f3788919d61e,12/4(月) 19:50
2023_1206_1512,it-science,IT・科学,15,ねとらぼ,ホロライブ人気VTuber、プリン・アラモード作りで“禁じ手”　生配信でプリン作りを披露するもプッチンしてしまう,https://news.yahoo.co.jp/articles/fab037c9612030a03de2ab2a430bfac1fcc9c82e,12/4(月) 18:30
2023_1206_1512,it-science,IT・科学,16,ねとらぼ,日本発“クギが打てる”「メタルバナナ」がなぜか台湾で人気爆発　注文集中でメーカーも「急いで生産中」,https://news.yahoo.co.jp/articles/446a757f06b06cf1e6ce23d42884a7d7daa31656,12/5(火) 12:12
2023_1206_1512,it-science,IT・科学,17,ねとらぼ,「Androidスマートフォン」おすすめ人気ランキング！　2位は「OPPO（オッポ） Reno7 A」、1位は？【2023年12月版】,https://news.yahoo.co.jp/articles/1333a0ca590250d4d3f493c40d784fc12b3790ea,12/4(月) 17:05
2023_1206_1512,it-science,IT・科学,18,テクノエッジ,現実の魔法具、iPhoneサイズの立体映像装置「Looking Glass Go」。2台も買って何をするのか（CloseBox）,https://news.yahoo.co.jp/articles/bc36398589e7d7764da4dbd42e9772774a850baf,12/6(水) 13:49
2023_1206_1512,it-science,IT・科学,19,ねとらぼ,スイカを土に埋めて10日後に掘り起こした結果……　まさかの変化に「微生物ってすげぇ」と驚きの声,https://news.yahoo.co.jp/articles/f8519235bac0d3034d61446cca07e8476f1501f3,12/5(火) 20:45
2023_1206_1512,it-science,IT・科学,20,ねとらぼ,リアルすぎてコワイ！　「風の谷のナウシカ」ヘビケラを再現したロボットがすごい　ウゾウゾ歩く姿に「気持ち悪い」「完成度高い」と称賛の声,https://news.yahoo.co.jp/articles/a68cb85dadea82cd6169f27134921f77486bf53a,12/5(火) 19:00
2023_1206_1512,it-science,IT・科学,21,BuzzFeed Japan,“雑なときほど盛れる”メイクのエピソードに「あるある過ぎて…」「丁寧＝変にこだわるから」と共感や分析の声が集まる,https://news.yahoo.co.jp/articles/d385d6592f90ea9a23e8aa89677250d5e012d82a,12/6(水) 8:35
2023_1206_1512,it-science,IT・科学,22,ITmedia NEWS,Microsoft、「Windows 10」の一般ユーザーにもESUを3年提供へ,https://news.yahoo.co.jp/articles/54ee97a7d13e0bdd08ec372939cd32dcf31f50a8,12/6(水) 14:32
2023_1206_1512,it-science,IT・科学,23,テクノエッジ,気づくと怖い怪奇ウェディングドレス写真。原因はiPhoneカメラの仕組みにあり？,https://news.yahoo.co.jp/articles/4c5018d7a0bdc79c8b69b57a916e116816d9f3ac,12/2(土) 20:47
2023_1206_1512,it-science,IT・科学,24,読売新聞（ヨミドクター）,旅立ったビーグル犬のチコ君　特養の屋上で飼い主と夕焼けを眺めた穏やかな日々…最期までペットと自然に暮らせる社会を,https://news.yahoo.co.jp/articles/0b98c0eed1b35b205d83dcf4143b8c01277e8a2d,12/5(火) 11:40
2023_1206_1512,it-science,IT・科学,25,ねとらぼ,『ワンパンマン』原作が約5カ月ぶりに更新　村田雄介「世界の危機にあのヒーローが帰ってきたっぽい！」,https://news.yahoo.co.jp/articles/bfddbf3888bbfd075a037b45b17d28e7ec90c3ed,12/4(月) 19:50
2023_1206_1512,it-science,IT・科学,26,BCN,AWA年間ランキング、2位のYOASOBIの「アイドル」を上回った1位は……,https://news.yahoo.co.jp/articles/98cab03d4fb4adb7715ad9ed81895935402722ea,12/5(火) 19:00
2023_1206_1512,it-science,IT・科学,27,ねとらぼ,「大変危険です」「おやめください」　玉子焼き器を揚げ物に使わないで　「知らなかった」と調理メーカーの注意喚起に反響,https://news.yahoo.co.jp/articles/7605424ab35f3f7200d62ac94cad50f89b0de86a,12/3(日) 12:36
2023_1206_1512,it-science,IT・科学,28,アスキー,ビザが下りなきゃ日本へ強制送還!?　中国・深センへ香港空港からフェリーで入国＆中国新幹線で出国してみた,https://news.yahoo.co.jp/articles/4c95514c134fc62f183060a5f22652468345b1a4,12/6(水) 7:00
2023_1206_1512,it-science,IT・科学,29,ITmedia PC USER,19万円切りでPCゲームを楽しめる！　マウスコンピューターの16型ノートPC「NEXTGEAR J6-A7G60GN-A」の実力を検証する,https://news.yahoo.co.jp/articles/24ef6e6a10434886b2199d2be440685624247f3b,12/6(水) 14:00
2023_1206_1512,it-science,IT・科学,30,PC Watch,Twitch、韓国から撤退。コストが極めて高額なため,https://news.yahoo.co.jp/articles/d9bcca311a257af5fa16783fcdd4bb98a77f7a96,12/6(水) 12:14
2023_1206_1512,it-science,IT・科学,31,アスキー,【グラコロじゃない】コメダ珈琲の「グラクロ」とにかく大きいので気を付けろ,https://news.yahoo.co.jp/articles/0d5ca6aa995b3a8afbab9c7fe9176066265d2d9b,11/30(木) 17:50
2023_1206_1512,it-science,IT・科学,32,BCN,大分・由布院温泉にラグジュアリーリゾート旅館オープン、専属バトラー付き,https://news.yahoo.co.jp/articles/5a1b9a36449373d261cb1d60280da0cea8303b59,12/6(水) 7:00
2023_1206_1512,it-science,IT・科学,33,関西テレビ,プール熱と溶連菌　感染者は過去10年で最多　感染は接触から　対策は「こまめに拭く」【医師が解説】,https://news.yahoo.co.jp/articles/1afaeb5134370feb96cb5cef137f591b5a0e56ea,12/5(火) 14:17
2023_1206_1512,it-science,IT・科学,34,BuzzFeed Japan,エプソンが開発した『黒ひげ絶対助けるロボ』がシュールだけど凄いと話題に。「全力真剣のおふざけ好き」「面白いけどよく考えたら凄くて怖くなってきた」,https://news.yahoo.co.jp/articles/48899d464a75498b77abbe780620262025377c64,12/5(火) 12:00
2023_1206_1512,it-science,IT・科学,35,ITmedia PC USER,Windows 10の「ESU（拡張セキュリティ更新）」は最長3年間（原則有償）　個人向け提供も検討,https://news.yahoo.co.jp/articles/7f90c5f74045e87105077b63e3af4b59680aa614,12/6(水) 13:57
2023_1206_1512,it-science,IT・科学,36,ねとらぼ,ボロボロでサビだらけのR32 GT-Rがオークションに　スクラップ同然でも220万円の入札が!?,https://news.yahoo.co.jp/articles/330b3838f327db745f8230bf81fc1a500a8f6819,12/4(月) 19:00
2023_1206_1512,it-science,IT・科学,37,ギズモード・ジャパン,奇跡の1枚からシュールなシーンまで。野生生物の決定的瞬間,https://news.yahoo.co.jp/articles/f9970306385b1e23eec756451ee4a39541068fc0,12/5(火) 6:00
2023_1206_1512,it-science,IT・科学,38,BuzzFeed Japan,肉の腐ったようなにおい！？ “世界最大の花”13年ぶり開花へ。朝ドラ「らんまん」で話題の小石川植物園,https://news.yahoo.co.jp/articles/15e0c7a9560982c2f923ef928c4dbf8cd077d3a2,12/6(水) 12:25
2023_1206_1512,it-science,IT・科学,39,ねとらぼ,“どろどろの溶岩”を巨大シュレッダーに注ぐと……　予想を裏切る結果に「壊れるかと思った！」「怖っ」と驚きの声,https://news.yahoo.co.jp/articles/fb18dcf5157b829d79b4407f6e2b73c95f1325af,12/3(日) 20:15
2023_1206_1512,it-science,IT・科学,40,BCN,ソニーがシャープの連続首位を阻止、今売れてる有機ELテレビTOP10　2023/12/6,https://news.yahoo.co.jp/articles/2aeb22a758a923047784dc9f8e13c3c548f5577b,12/6(水) 12:30
