Scrape Time,Genre EN,Genre JP,Rank,Media,Title,Link,Date
2023_1206_1512,domestic,国内,1,毎日新聞,日本で一番朝起きるのが遅い都道府県は？　就寝時間の遅さも全国1位,https://news.yahoo.co.jp/articles/cf7ee11ad5d6a0fe1bb17c8fb7f39e2a6fb8cf1f,12/6(水) 12:46
2023_1206_1512,domestic,国内,2,J-CASTニュース,マックのグラコロにゴキブリ混入？客「まだ生きていた」　運営は「現物お預かりできず」...申し出あった事実は認める,https://news.yahoo.co.jp/articles/313b539a54617c0b19a0c3755fa0db1d539931a1,12/5(火) 21:23
2023_1206_1512,domestic,国内,3,デイリースポーツ,前澤友作氏が「絶対お勧め」の習い事　株式投資家テスタ氏も将来「月謝は何百倍で返ってくる」,https://news.yahoo.co.jp/articles/1fe68d66d30c8fca620bfa67f1af674466ae2116,12/6(水) 10:49
2023_1206_1512,domestic,国内,4,産経新聞,京アニ公判　「青葉真司！聞いてるか！」　法廷に響いた男性社員の叫び,https://news.yahoo.co.jp/articles/11b3a15bc7ee047e96a6c77b45ed56ac00e76c85,12/6(水) 7:24
2023_1206_1512,domestic,国内,5,読売新聞オンライン,行き先は「小樽おなら」？道路標識の英語表記、３０年以上間違い見過ごす,https://news.yahoo.co.jp/articles/bea638f167ece2ddeac27edd3a10aa25a141382f,12/6(水) 6:50
2023_1206_1512,domestic,国内,6,読売新聞オンライン,交際を断った男に両親を殺害された女性、公判で「何で家族なの」と声絞り出す…謝罪しない男を「逃げている」と非難,https://news.yahoo.co.jp/articles/3ce37e652e00967696dbd926d9bd73dc63350d91,12/6(水) 8:47
2023_1206_1512,domestic,国内,7,テレビ朝日系（ANN）,人気パン屋の突如閉鎖から2年…失踪の元社長を詐欺容疑で逮捕　元従業員ら再出発の中,https://news.yahoo.co.jp/articles/f0a3b34b2640daf2fa6acb303df7490fd7cb4af7,12/6(水) 12:12
2023_1206_1512,domestic,国内,8,スポニチアネックス,明石市前市長・泉房穂氏「この国を滅ぼすつもりか」「ありえない」高校生の扶養控除縮小案に苦言,https://news.yahoo.co.jp/articles/248cf148c530971a11c0de839f88ea6326f90a2c,12/6(水) 10:32
2023_1206_1512,domestic,国内,9,CBCテレビ,“頂き女子りりちゃん” 紺色のスウェット姿で法廷に　男性から約3850万円だまし取った詐欺罪の起訴内容を認める,https://news.yahoo.co.jp/articles/62d01f0f04fd7c7090ab7400ce18a0791b17e870,12/6(水) 14:16
2023_1206_1512,domestic,国内,10,毎日新聞,バザーに車突っ込む、3人搬送　車は逃走　茨城・日立市役所前,https://news.yahoo.co.jp/articles/cf1b37a2826e972bfb04a06001fea87c5935672e,12/6(水) 14:43
2023_1206_1512,domestic,国内,11,テレビ朝日系（ANN）,"「離党で前提変わった」連合　""新党結成""表明の前原氏の衆院選推薦を「白紙」に",https://news.yahoo.co.jp/articles/dae0ac6dafd7d0ec80fb7a386267d7ea8be90c17,12/6(水) 13:58
2023_1206_1512,domestic,国内,12,テレビ朝日系（ANN）,【速報】茨城・日立市役所の広場で車が暴走し逃走か　複数人がけがとの情報,https://news.yahoo.co.jp/articles/62d73d2ae0deffed61c193ee1d0e75813728afb1,12/6(水) 14:40
2023_1206_1512,domestic,国内,13,みんかぶマガジン,なぜ維新の政党支持率は高いのか…前大阪市長・松井一郎「他の党に比べたらマシだから」他のベンチャー政党との違いは「結局一番、地道なのが自民党なんです」,https://news.yahoo.co.jp/articles/f96e94f8638ef4e31ba914df6110818b19cef7f4,12/6(水) 12:13
2023_1206_1512,domestic,国内,14,毎日新聞,「やけどの痕、生き地獄」人前で外せぬ手袋　京アニ公判で社員,https://news.yahoo.co.jp/articles/7299878269673797bcb9ba51e73a928dca1642f7,12/4(月) 20:30
2023_1206_1512,domestic,国内,15,BUSINESS INSIDER JAPAN,新NISAは、最短5年で1800万円枠を「埋めなくてもいい」3つの理由。成長投資枠には要注意,https://news.yahoo.co.jp/articles/18170938a7d99d5e401a1adbca768537b518ee66,12/5(火) 20:00
2023_1206_1512,domestic,国内,16,朝日新聞デジタル,指定暴力団極東会系の組トップを逮捕　博物館近くで事務所運営の疑い,https://news.yahoo.co.jp/articles/22063a3aa0e51a3e7525688fdc975ed900ad2c18,12/6(水) 13:56
2023_1206_1512,domestic,国内,17,ABEMA TIMES,「この車、何がおかしいかお分かりいただけるだろうか？」矢印信号のある交差点で発生しがちな違反行為をアニメーションで解説！SNS上でも反響続々,https://news.yahoo.co.jp/articles/eeefeff3aaa445ad9cc29a1a513ca248edfed72a,12/4(月) 12:09
2023_1206_1512,domestic,国内,18,日刊スポーツ,堀江貴文氏、講演会料金「たけぇ」の声に痛烈アンサー「これを高えとか思ってるやつは…」,https://news.yahoo.co.jp/articles/10fa3c417d1477bad01269867cccaf237daa334c,12/6(水) 15:00
2023_1206_1512,domestic,国内,19,CBCテレビ,「聞いたことがない音がしてびっくりした」　84歳男性運転の乗用車が喫茶店の壁を突き破って店内に,https://news.yahoo.co.jp/articles/d8124eeb3d5ed3ba9b1d6d4952409afd013ef992,12/6(水) 13:46
2023_1206_1512,domestic,国内,20,TBS NEWS DIG Powered by JNN,結婚目前で殺害された風俗店従業員の夢「40歳までに仕事辞めてデザイナーに」刺した客は“出入り禁止”に怒り,https://news.yahoo.co.jp/articles/bb74d3618bb6e52acc2d631ba96c00f1a0bb93cd,12/2(土) 6:32
2023_1206_1512,domestic,国内,21,テレビ朝日系（ANN）,「欲求抑えられなかった」乗り換え先の電車まで追跡し性的暴行か…49歳男を逮捕,https://news.yahoo.co.jp/articles/b46145edb80d269ef9cdaaa1ab887ac7c9b2c133,12/6(水) 10:08
2023_1206_1512,domestic,国内,22,時事通信,子ども1人5万円追加給付　低所得者世帯向けで検討　政府,https://news.yahoo.co.jp/articles/aa8ed182275f6b6434a206329f8f31a9fd8aaca7,12/6(水) 11:02
2023_1206_1512,domestic,国内,23,読売新聞オンライン,女子児童ら延べ１５１人を盗撮した元小学校教諭、保護観察・執行猶予付きの有罪判決…横浜地裁,https://news.yahoo.co.jp/articles/beb61fc18caab59499f56a8e49b601704b90ed4b,12/6(水) 13:36
2023_1206_1512,domestic,国内,24,スポニチアネックス,習志野の人気ラーメン店、SNS不適切発言を謝罪　食べ残し客に対し「二度とくるなゴミクズが」投稿,https://news.yahoo.co.jp/articles/9a4928610933313905c988da6a6046d13f75d381,12/6(水) 12:39
2023_1206_1512,domestic,国内,25,毎日新聞,博物館の近くに事務所開いた疑い　暴力団のナンバー2ら逮捕　警視庁,https://news.yahoo.co.jp/articles/e50eed375b530d9f0286d27e9444f60c5ed70b17,12/6(水) 12:52
2023_1206_1512,domestic,国内,26,よろず～ニュース,維新・馬場代表　都の高校授業料実質無償化に「大阪で始めた歩みが首都でも」全国的な広がりに期待,https://news.yahoo.co.jp/articles/d2cdc006d19ff1d3b1d172eef83adc341ec69f1c,12/6(水) 14:00
2023_1206_1512,domestic,国内,27,J-CASTニュース,「危険」「常識ない」他人の駐車場で勝手に子供遊ばせる...母親らに批判　住人「ここまで酷いのは初めて」,https://news.yahoo.co.jp/articles/240cc62384245df2cbcb774c7f133a5f31e1bead,12/1(金) 20:24
2023_1206_1512,domestic,国内,28,婦人公論.jp,バス運転士不足で前日夜まで勤務枠が埋まらないことも…元運行管理者「運転士の割り振りはまるで終わりのない複雑なパズル」,https://news.yahoo.co.jp/articles/622740776c8cb3d033da4a8a04e847d1d7a85d77,12/6(水) 6:32
2023_1206_1512,domestic,国内,29,tenki.jp,大気不安定　今夜～西日本　明日7日は東・北日本で雷雨　沿岸は暴風警戒　夜は吹雪も,https://news.yahoo.co.jp/articles/51241861490903c6482ee94d71fab1aa2ac12aec,12/6(水) 13:49
2023_1206_1512,domestic,国内,30,朝日新聞デジタル,84歳女性、「2億円」を故郷に寄付　「教育のため」亡き夫と共に,https://news.yahoo.co.jp/articles/519efe20fcd8ebe1c4068af07fa9a0d1af67a638,12/6(水) 7:23
2023_1206_1512,domestic,国内,31,ABEMA TIMES,「欲求が抑えられなかった」乗り換え先の電車まで追跡し20分以上20代女性に性的暴行か 49歳男を逮捕,https://news.yahoo.co.jp/articles/5ebe538611caea1d36ed9ec3368032044a4fae84,12/6(水) 11:07
2023_1206_1512,domestic,国内,32,時事通信,扶養控除縮小でも全世帯にプラス　差し引き3．9万～12万円　政府・与党,https://news.yahoo.co.jp/articles/a4a421ba02d76306a8bbab24ce3cc49c2f7fbc26,12/6(水) 13:32
2023_1206_1512,domestic,国内,33,読売新聞オンライン,元社員、転職直前にデータ複製か…企業が持ち出しに気づいたのは退職から４か月後,https://news.yahoo.co.jp/articles/82b7775bc866659399b63fc6a1f27de67c9a61df,12/6(水) 7:40
2023_1206_1512,domestic,国内,34,ABEMA TIMES,冬の北海道を楽しそうに散歩する柴犬がまるで粉砂糖びっしりの鈴カステラ状態！ かわいすぎて反響「美味し…あ、いや、寒そう」「鈴カステラの時期」,https://news.yahoo.co.jp/articles/27d6bb7702f245a3ed5fc2d07a1bef5278883df7,12/6(水) 12:10
2023_1206_1512,domestic,国内,35,東海テレビ,男子生徒「やれるものならやってみろ」女子生徒が直後に首切りつけ 中学校で起きた殺人未遂事件の状況明らかに,https://news.yahoo.co.jp/articles/3c527faed52f63e8f258baaac6d1db4a0d6ae74d,12/5(火) 17:24
2023_1206_1512,domestic,国内,36,時事通信,【図解】扶養控除縮小でも全世帯にプラス＝差し引き3．9万～12万円―政府・与党,https://news.yahoo.co.jp/articles/5a4e38995928946fdb37b7a9e5cecc91dfa73ed1,12/6(水) 13:32
2023_1206_1512,domestic,国内,37,時事通信,子育て世帯対象に税優遇検討　生命保険、住宅ローン　政府・与党,https://news.yahoo.co.jp/articles/7e88bf19cd29fc2e27afd9aaa1e328e8b98fbf23,12/5(火) 17:06
2023_1206_1512,domestic,国内,38,弁護士ドットコムニュース,"「セカンドレイプの町」元草津町議の""性被害一部虚偽""で当事者団体が謝罪「多くの人を傷つける表現だった」",https://news.yahoo.co.jp/articles/9b2269b35b28a7cc127a25e7bf88f33abc141f3f,12/5(火) 15:24
2023_1206_1512,domestic,国内,39,CBCテレビ,「幕の内弁当」食べた82人が下痢や発熱　ノロウイルス検出で“食中毒”と断定　スポーツ関係のイベントで配布,https://news.yahoo.co.jp/articles/3f3aedf15c54c6bcd17f7cbdd65e7dbd1d42fedd,12/6(水) 14:38
2023_1206_1512,domestic,国内,40,読売新聞オンライン,茨城・日立市役所前の広場、乗用車が男女３人をはね逃走…展示・販売イベントの開催中,https://news.yahoo.co.jp/articles/af5155de4e71bab228c0b1537712fe8bbdb12d50,12/6(水) 14:56
