scrape_time,genre_en,genre_jp,rank,media_jp,title,link,date_original
2023_1206_1722,world,国際,1,ABEMA TIMES,233mからのバンジー直後に日本人死亡 原因は「気圧差」？,https://news.yahoo.co.jp/articles/a6207029e5206377c94561907b98147288ca9d3d,12/6(水) 8:01
2023_1206_1722,world,国際,2,中央日報日本語版,教え子の女子中学生に性的暴行の教師…中国、死刑宣告直後に処刑,https://news.yahoo.co.jp/articles/fa4aca95dafbce9bc92d9c4ca123659a1ed6044d,12/6(水) 14:43
2023_1206_1722,world,国際,3,読売テレビ,【独自解説】北朝鮮に“新星女将軍”誕生⁉娘・ジュエ氏が最高指導者“象徴ペアルック”で軍視察　一方、1万人の前で涙した金正恩総書記は「健康状態があまり良くない」？,https://news.yahoo.co.jp/articles/fa46646f20afd3de178351e6a9fac35f56a5af54,12/6(水) 14:30
2023_1206_1722,world,国際,4,中央日報日本語版,北朝鮮を狙う斬首部隊、ビン・ラディン暗殺作戦に投入された特殊戦用ヘリコプター「チヌーク」導入の可能性,https://news.yahoo.co.jp/articles/059f7575fec575d9716adb6b4efd8996ed42e15e,12/6(水) 15:48
2023_1206_1722,world,国際,5,夕刊フジ,倒産続出〝ＥＶバブル〟終焉の中国　販売わずか５３６台、給料支給できない企業も…メーカーに在庫の山、荒々しい淘汰の波,https://news.yahoo.co.jp/articles/466cafd03ea0fb706aa9e58ec82293ce0beafccb,12/4(月) 17:00
2023_1206_1722,world,国際,6,ABEMA TIMES,もう、終わりなの？ ガタガタガタ…激しく揺れる機内は泣き出す人、遺書を書く人でパニックに エンジン火災→緊急着陸の被害は？ 中国,https://news.yahoo.co.jp/articles/b7d4362948f3021542428067d4e4fe5b4b9b22e2,12/6(水) 8:00
2023_1206_1722,world,国際,7,CNN.co.jp,イスラエル軍が民間人の死者を割合で表現　国連は「悪趣味」と一蹴,https://news.yahoo.co.jp/articles/4f9aeac6423c9be049547ea28c2860bf91784fe0,12/6(水) 16:16
2023_1206_1722,world,国際,8,ロイター,ネパール警察、ロシア軍に若者を送り込んだ疑いで10人を拘束,https://news.yahoo.co.jp/articles/86ec4eff4891e2b950db51e9ffdcd77374e1b2f2,12/6(水) 15:54
2023_1206_1722,world,国際,9,BBC News,ゼレンスキー氏、米議会とのテレビ会議を直前キャンセル　支援滞るなか,https://news.yahoo.co.jp/articles/4a878a6a8f33f396bfe8a32a1e93ab880d4803cb,12/6(水) 15:06
2023_1206_1722,world,国際,10,中央日報日本語版,４キロ離れたロシア指揮官に命中…ウクライナを興奮させた「狙撃新記録」,https://news.yahoo.co.jp/articles/32df889d34a88eae73cd78293f508f25c7937349,12/6(水) 7:37
2023_1206_1722,world,国際,11,中央日報日本語版,米国で犬の重症呼吸器疾患が増加「新型ウイルスの可能性」,https://news.yahoo.co.jp/articles/ef10968bdbff8f33b099049f1605b31d48ee16ca,12/4(月) 6:53
2023_1206_1722,world,国際,12,The News Lens Japan,中国〝謎の肺炎〟で「当局が事実を隠ぺい」と米誌…抗生物質効かずまん延、病院ひっ迫も,https://news.yahoo.co.jp/articles/d74490b11b7deeea57e09ac3b5768f7dadb5c854,12/4(月) 11:57
2023_1206_1722,world,国際,13,中央日報日本語版,「男女問わず性的暴行したハマス…性犯罪暴露恐れ女性の解放拒否」,https://news.yahoo.co.jp/articles/c0759e710b6565858e7a724fc7cd425a789a0d24,12/5(火) 16:54
2023_1206_1722,world,国際,14,CNN.co.jp,ハマス攻撃は「ユダヤ人に対する筆舌に尽くしがたい蛮行」　スピルバーグ監督,https://news.yahoo.co.jp/articles/c1380804be471a1f12658a3d7cb45a467e4108e8,12/6(水) 14:30
2023_1206_1722,world,国際,15,CGTN Japanese,中国でミカンの食べ過ぎによる高カリウム血症患者が増加,https://news.yahoo.co.jp/articles/f257c796310ee5fab8f0bfb0ae307a0bde4202b9,12/3(日) 17:18
2023_1206_1722,world,国際,16,時事通信,ベネズエラ、隣国の3分の2併合へ法案　ガイアナ反発、安保理に訴えも,https://news.yahoo.co.jp/articles/05de6a9e2c6a395a8f14c6c0b1b18d92552bfd93,12/6(水) 14:43
2023_1206_1722,world,国際,17,ロイター,ロシア、ウクライナ東部アブデーフカへの攻撃継続,https://news.yahoo.co.jp/articles/11004a86e905173e0d1e92a46b14d68bc9f13244,12/6(水) 14:19
2023_1206_1722,world,国際,18,CNN.co.jp,ハマスによる性的暴行の情報、バイデン米大統領が非難　,https://news.yahoo.co.jp/articles/33ee029fd18c49b1ace4a30f43e35a4c2e4c9187,12/6(水) 16:26
2023_1206_1722,world,国際,19,ハンギョレ新聞,「ＢＴＳの国よ、化石燃料はパラサイト…」アジアの環境団体、ＣＯＰ２８で韓国を批判,https://news.yahoo.co.jp/articles/a63a20899292385bfd70f1cdbd1936589f3f26e2,12/6(水) 13:49
2023_1206_1722,world,国際,20,CNN.co.jp,知的障害あるパレスチナ人、軍服姿の男に撃たれ負傷　ヨルダン川西岸の映像,https://news.yahoo.co.jp/articles/453a81de401ee8a8a1aa61e1b4b22b3907a7fda5,12/6(水) 12:54
2023_1206_1722,world,国際,21,中央日報日本語版,トコジラミ、２匹流入後１２０日が過ぎれば３０００匹に…「完全駆除は不可」＝韓国,https://news.yahoo.co.jp/articles/af6c38ebf48920bf806f1176d29092dff36bd3ec,12/6(水) 13:17
2023_1206_1722,world,国際,22,共同通信,トランプ氏、権力乱用を示唆　返り咲けば国境閉鎖,https://news.yahoo.co.jp/articles/bb06dc39f7f4aaab7c1b2b8634ebd1e5dba027f2,12/6(水) 15:53
2023_1206_1722,world,国際,23,時事通信,子供の5人に1人が貧困　先進40カ国で　ユニセフ,https://news.yahoo.co.jp/articles/16e85ad8091f7a62f07d81ad57fc7b4aaf0bd4b8,12/6(水) 14:42
2023_1206_1722,world,国際,24,朝鮮日報日本語版,「韓国と日本が経済連合を立ち上げればエネルギー分野で数百兆ウォンのシナジー効果」,https://news.yahoo.co.jp/articles/07acac3b034a0cd5d3800deae25a2a771e2e4fe7,12/6(水) 16:35
2023_1206_1722,world,国際,25,CNN.co.jp,韓国ブラックピンクが契約更新、４人のグループ活動継続,https://news.yahoo.co.jp/articles/9e867c7479543ce1db5bdcc19db955f8620fd96f,12/6(水) 15:52
2023_1206_1722,world,国際,26,産経新聞,「８万床」未使用で放置　中国ゼロコロナ撤回１年　遺族に癒えぬ傷、地方財政に重し,https://news.yahoo.co.jp/articles/f996ce94da5d309964509435e43a42dfb03868e6,12/6(水) 16:41
2023_1206_1722,world,国際,27,共同通信,中国外相、台湾巡り内政干渉するなと要求,https://news.yahoo.co.jp/articles/c74d77c86a71f0a0f7655245d261262999420b35,12/6(水) 16:13
2023_1206_1722,world,国際,28,産経新聞,反トランプ急先鋒チェイニー氏が出馬検討の報道　米大統領選,https://news.yahoo.co.jp/articles/15bab0ab6259a7c984f4031c097e2dad8da047f0,12/6(水) 15:10
2023_1206_1722,world,国際,29,中央日報日本語版,ブラックフライデーで買ったコートから「中国人受刑者の身分証」見つかる…英国,https://news.yahoo.co.jp/articles/ec1aff254417915a8453c13ae3f385446e4243ad,12/5(火) 7:14
2023_1206_1722,world,国際,30,朝鮮日報日本語版,光州運動犠牲者を墓参した曺国元法相、芳名録の書き間違いが話題に,https://news.yahoo.co.jp/articles/0688958c9e852a96ad49cf6d3e7ce62810c67556,12/6(水) 16:07
2023_1206_1722,world,国際,31,聯合ニュース,アップルに賠償命令　iPhone性能低下で「精神的損害」＝韓国高裁,https://news.yahoo.co.jp/articles/480ba888070d1ba38d7e4d5a628284fbbde26f80,12/6(水) 16:05
2023_1206_1722,world,国際,32,ＡＦＰ＝時事,ゼレンスキー氏、米議員に支援訴える演説中止,https://news.yahoo.co.jp/articles/0f756bdbee71c25e890d255cebac3dd715f12f64,12/6(水) 13:04
2023_1206_1722,world,国際,33,ハンギョレ新聞,８６年前に絶滅したと思われていたキンモグラ…ボーダーコリーが見つけた,https://news.yahoo.co.jp/articles/c9682f152d3b3c950f675ac1bfe7bf8276b292a1,12/5(火) 10:04
2023_1206_1722,world,国際,34,中央日報日本語版,「ビットコイン取引、韓国ウォンがドル上回る」　海外メディアが見た韓国の強力なコミュニティー,https://news.yahoo.co.jp/articles/8f824291f5783d93db58b067c5a3d865c84f988d,12/6(水) 13:50
2023_1206_1722,world,国際,35,ニッポン放送,周庭氏の亡命　「運動を続けずに逃げてしまった」という中国当局のシナリオ通りに,https://news.yahoo.co.jp/articles/10384547327a8459638ff9e8d91cabf7dcf951be,12/5(火) 17:30
2023_1206_1722,world,国際,36,ハンギョレ新聞,ウクライナ「領土放棄・ＮＡＴＯ加盟」条件に平和交渉に乗りだすか,https://news.yahoo.co.jp/articles/9b27e094a491b4af96b1424421349811123a6498,12/6(水) 9:09
2023_1206_1722,world,国際,37,ロイター,ハマス、イスラエル奇襲時に女性暴行し体を切断＝バイデン大統領,https://news.yahoo.co.jp/articles/e934ff8a909d697d2514daaaac37f0512374eb4f,12/6(水) 7:45
2023_1206_1722,world,国際,38,夕刊フジ,「さよなら、チャイナ」外資もヒトも去って行き…頼みの綱は台湾企業　政府は撤退呼びかけも残る４０兆円の投資,https://news.yahoo.co.jp/articles/34bc6e8fe43063192a209d2879a867fb36999ec7,12/2(土) 17:00
2023_1206_1722,world,国際,39,NNA,【ベトナム】南北高速鉄道は時速350キロ　副首相指示、既存線も活用か,https://news.yahoo.co.jp/articles/61ec1bb5f65b514c2136f96a9717de27bdca55c5,12/6(水) 11:30
2023_1206_1722,world,国際,40,KOREA WAVE,「そこは家か？」ソウル地下鉄の女子中学生、床に寝て化粧、自撮り遊び…ネット上で批判噴出,https://news.yahoo.co.jp/articles/e9f21274d730677880138127f34b41743e68fa4f,12/6(水) 4:03
