scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,link,date_original
2026-08-15,19:21,TTL,総合,1,ENCOUNT,「ここで死ねってことですか？」標高7000mで置き去りに…女性登山家を襲った“山での裏切り”の一部始終,https://news.yahoo.co.jp/articles/dd4eb45f6165139d5ed445b51f0e97785e6e32f3,8/15(土) 9:20
2026-08-15,19:21,TTL,総合,2,スポーツ報知,【中日】死球の村松開人は肩甲骨の骨折　井上一樹監督「最低２週間は」「最短で帰ってきてくれ」阪神・前川右京は１か月未満で復帰,https://news.yahoo.co.jp/articles/e9628faea5d5099c7060aa727feac359f48d001d,8/15(土) 18:06
2026-08-15,19:21,TTL,総合,3,まいどなニュース,「ずいぶんお痩せに」「どんどんお綺麗に」芸能界おしどり夫婦…妻が1年で体重15キロ減　フェイスラインすっきり　減量法も明かす,https://news.yahoo.co.jp/articles/87c6ed0d280ff024612b1c26512a86c3d45acc14,8/15(土) 15:10
2026-08-15,19:21,TTL,総合,4,HTB北海道ニュース,息子２人を助けようと…父親（３９）おぼれ死亡　北海道・豊浦町 遊泳禁止のキャンプ場,https://news.yahoo.co.jp/articles/2049bea35992a25b1d06e863afe8c5cfd40a8dea,8/15(土) 7:36
2026-08-15,19:21,TTL,総合,5,東スポWEB,【ＭＬＢ】戦慄！　ブルージェイズ主砲・ゲレロが飛びヒザ蹴り浴びてＫＯ退場「ＵＦＣの一撃」,https://news.yahoo.co.jp/articles/c29be9c075614670c76445bba12bab5ab7297bd0,8/15(土) 15:15
2026-08-15,19:21,TTL,総合,6,スポニチアネックス,ハイヒールリンゴ　訪問したミシュラン星つき店の接客に苦言「あんな感じの悪い対応ない…二度と行かん」,https://news.yahoo.co.jp/articles/c478190c006292a81c8b4bd27fc0169468cccf9a,8/15(土) 14:35
2026-08-15,19:21,TTL,総合,7,日刊スポーツ,【巨人】橋上監督代行が謝罪「批判は全て甘んじて受けます」竹丸和幸３回８失点KOで大敗,https://news.yahoo.co.jp/articles/ff09534cf28037dfccfcbe5ef8265129665ac103,8/15(土) 18:12
2026-08-15,19:21,TTL,総合,8,ENCOUNT,60歳妻と26歳夫が一緒に入浴　ラブラブな私生活に「すごーい！」「情熱的なんや」,https://news.yahoo.co.jp/articles/1127a21a6176902e0a56b8d59bf35cee3737e80a,8/15(土) 15:21
2026-08-15,19:21,TTL,総合,9,Full-Count,突如動いたキケ、伝えたかった「お前は世界一の投手」　悩める守護神へ…意識を変えた行動,https://news.yahoo.co.jp/articles/6eb2b5c6eb677ebfcfe62422f5ac5d4ff6a541c1,8/15(土) 16:31
2026-08-15,19:21,TTL,総合,10,モデルプレス,スピードワゴン小沢一敬、活動自粛中に“難関大学”進学していた「2年前は中卒でした」,https://news.yahoo.co.jp/articles/dbd7d5c41f30c7899e6deaee76270a6880cbdfac,8/15(土) 17:47
2026-08-15,19:21,TTL,総合,11,ABEMA TIMES,“不倫騒動から6年” アンジャッシュ・渡部建（53）、最新姿に「ビックリしました」「別班みたい」「まじか」など驚きの声,https://news.yahoo.co.jp/articles/574312c7e51057d33a99987d15a7c4663ccf37b1,8/15(土) 15:15
2026-08-15,19:21,TTL,総合,12,ねとらぼ,帰りの新幹線、富山の義兄にもらった2980円駅弁→開けると……　「こんなお弁当見たことない」まさかの中身に騒然　投稿者に話を聞いた,https://news.yahoo.co.jp/articles/12d91992ce36d53a9471151ee5cabee777e6e383,8/15(土) 7:00
2026-08-15,19:21,TTL,総合,13,日テレNEWS NNN,市川のマンション爆発事故で入院中だった住人男性（52）が死亡　8月1日に発生　ガス漏れの可能性があり周辺建物にも被害,https://news.yahoo.co.jp/articles/26140bef86a875b77c4fe24132774fc5318e5d41,8/15(土) 15:47
2026-08-15,19:21,TTL,総合,14,ENCOUNT,有田哲平、ラーメン週20杯食べるYouTuberに指摘「味なんて分かってないよ」,https://news.yahoo.co.jp/articles/8cfa46faf98c52d1a6031288bfc3178501c2bdef,8/15(土) 14:40
2026-08-15,19:21,TTL,総合,15,デイリースポーツ,「どこまで可愛くなれば気が済むんですか！」バドミントン１９歳透明感美女がさらにキュートに　ネット騒然「ｔｈｅ　ボーイッシュ！」「これだけベリーショートが似合う人いない」,https://news.yahoo.co.jp/articles/97ea9606c3c801ba44fa85552316709e7300102a,8/15(土) 16:27
2026-08-15,19:21,TTL,総合,16,FITNESS LOVE,俳優・寺田心が「逆三角形ボディ」で初のコンテスト挑戦も入賞ならず「3年後くらいに、身体を良くして戻ってきたい」,https://news.yahoo.co.jp/articles/3f83e72a6f5dd6028aaadca88b1826c2aa3cbb6a,8/15(土) 12:57
2026-08-15,19:21,TTL,総合,17,MANTANWEB,＜NHK夏の音楽祭 うたであえたら 2026＞きょう放送　曲名＆タイムテーブル公開,https://news.yahoo.co.jp/articles/516cf4625b5bb72f76f54fa073e68ef38ef2aded,8/15(土) 7:33
2026-08-15,19:21,TTL,総合,18,スポニチアネックス,有吉弘行、子供と病院に行くたび感動することとは？「うらやましい」「ありがたい制度ですよね」の声,https://news.yahoo.co.jp/articles/6e0e8aa8cc02bf658cc2e5a3710b19d5eb9ac666,8/15(土) 16:06
2026-08-15,19:21,TTL,総合,19,スポニチアネックス,京都の名店、人気女優の実家だった　中村雅俊＆小日向文世が訪問「うちの息子が…」　310年続く老舗,https://news.yahoo.co.jp/articles/707378e2d9776eef9cf6ee318cadbbad87fa061e,8/15(土) 17:45
2026-08-15,19:21,TTL,総合,20,オリコン,【コミケ】ベローチェに早朝から大行列！1時間で270人来店、カレー100食超で前年の2倍…高速提供できる理由【現地取材＆総指揮官インタビュー】,https://news.yahoo.co.jp/articles/ce32838f698c40c1bbd93e4119868c65e7cfb8dd,8/15(土) 12:05
2026-08-15,19:21,TTL,総合,21,ねとらぼ,ハンカチをクルクル巻いて、100均の輪ゴム3本で留めるだけで……　目からウロコのアイデアに「かわいい」「贈り物にも良さそう」,https://news.yahoo.co.jp/articles/2fa4d078700f1c9ad29eba1b13049680f438aada,8/15(土) 10:30
2026-08-15,19:21,TTL,総合,22,弁護士ドットコムニュース,千葉の豪雨で車の水没続出…保険適用のため被災者がすべきこと、「保険未加入」「ローン3桁残る」悲痛な声も,https://news.yahoo.co.jp/articles/25906821d177e9f6522ab050600ff665f37d1420,8/15(土) 9:10
2026-08-15,19:21,TTL,総合,23,ねとらぼ,チュートリアル徳井義実、宿泊先のビジホ朝食を「過去1美味かった」と絶賛　「絶対行きます」「ここ泊まろー！」,https://news.yahoo.co.jp/articles/159715d34cf1e500f9d2d75b68c5c4650eb731d6,8/15(土) 8:15
2026-08-15,19:21,TTL,総合,24,サンケイスポーツ,ディアス緊急フォーム修正…残り2戦登板せず　腕の角度『4度』降下　悪夢払拭も3四死球、薄氷S　ロバーツ監督「今日から作業始めた」,https://news.yahoo.co.jp/articles/e16f19376bad0a0ca0d170da4b0f8bc43ce6edc3,8/15(土) 14:50
2026-08-15,19:21,TTL,総合,25,中日スポーツ,死球の中日・村松開人は右肩甲骨骨折　井上監督「陥没しているような形」　復帰は最短で2週間…逆転CSへ痛い離脱,https://news.yahoo.co.jp/articles/562aab10d0e38da6901f7ba284c84871f3fd3185,8/15(土) 18:03
2026-08-15,19:21,TTL,総合,26,デイリースポーツ,さんま「もうテレビで一生できない」名物番組企画　９０年代席巻も　令和は一発アウト,https://news.yahoo.co.jp/articles/a9569585d9883affd195f06b885a140a8a50c74d,8/15(土) 16:58
2026-08-15,19:21,TTL,総合,27,スポーツ報知,「え！？！？長瀬くん？？」元ＴＯＫＩＯ長瀬智也　ロン毛から激変！「まさかの」「顔の小ささ圧倒的」「久しぶり」,https://news.yahoo.co.jp/articles/aec15cc445e86377cb9844079992eb19238fce18,8/15(土) 9:56
2026-08-15,19:21,TTL,総合,28,CNN.co.jp,猛暑のローマ、川の水位低下で「ネロの橋」の遺構露出　建設は2000年前,https://news.yahoo.co.jp/articles/ebc277277f14ccafccfe41c0f6bc85da2c36d7ec,8/15(土) 15:20
2026-08-15,19:21,TTL,総合,29,LIMO,「この世の終わりみたいな雲」福井で目撃された恐ろしい光景　「映画のワンシーンみたい」,https://news.yahoo.co.jp/articles/6daccd1068b90e479172ade4485a9751672a5caf,8/15(土) 10:01
2026-08-15,19:21,TTL,総合,30,ハフポスト日本版,サンシャイン池崎、ドトール“500円モーニング”に「恐ろしいコスパ」と感激⇨「この時代にありがたい！」の声,https://news.yahoo.co.jp/articles/fea4c815473ccef61ed29b3e06f5a7fa0177d24a,8/15(土) 16:00
2026-08-15,19:21,TTL,総合,31,スポーツ報知,【ソフトバンク】上茶谷大河＆渡辺陸を出場選手登録を抹消へ　試合後に小久保裕紀監督が明言「来週は（６試合）ないので」,https://news.yahoo.co.jp/articles/d6d9f0939dc47a8f3121b2ed63a5f1d3c06617d2,8/15(土) 18:17
2026-08-15,19:21,TTL,総合,32,マグミクス,「転売ヤーから買うのは嫌」『フリーレン』×フェルメール展の限定グッズ、公式の”神対応”に歓喜,https://news.yahoo.co.jp/articles/0d72c34a827b72caf30318fa2a251d7dd242ff66,8/15(土) 11:50
2026-08-15,19:21,TTL,総合,33,スポーツ報知,【中日】死球で交代の村松開人は病院へ　井上一樹監督「ちょっと厳しいかも」「あの痛がり方は尋常じゃない」,https://news.yahoo.co.jp/articles/8d2951314ba83e87798915b57356dd7c84320309,8/15(土) 17:16
2026-08-15,19:21,TTL,総合,34,MANTANWEB,＜豊島心桜＞“グラビア界のラスボス”がまぶしい！　圧倒的存在感,https://news.yahoo.co.jp/articles/06ef219d60a5d5b52588379fd01d8185bd057881,8/15(土) 16:01
2026-08-15,19:21,TTL,総合,35,馬トク報知,古川奈穂騎手が落馬、救急搬送　コース上で動けず　意識ありも胸の痛みを訴える…札幌１１Ｒ,https://news.yahoo.co.jp/articles/557e58ae22793f221864933c1271d32d842f1946,8/15(土) 16:46
2026-08-15,19:21,TTL,総合,36,西スポWEB OTTO!,夫に浮気され離婚、年下男性と新たな恋！内田有紀の親密2ショットに歓喜の声続々…ドラマ場面に「恋してる表情」「こんな風に想われるのいいな」と反響,https://news.yahoo.co.jp/articles/3cc2220355628f7333ba3d4c718837614b6406cc,8/15(土) 11:51
2026-08-15,19:21,TTL,総合,37,サッカー批評Web,「バケモン育てちゃった」C大阪の最高傑作21歳、欧州デビュー2戦目で衝撃ゴラッソ!初戦に続く大暴れに「日本代表あるぞ」「ベリンガムになれ」,https://news.yahoo.co.jp/articles/dbffcb4e005bb06d04db8a49808210283a5c4407,8/15(土) 11:30
2026-08-15,19:21,TTL,総合,38,西スポWEB OTTO!,バスケ男子日本代表　八村塁、河村勇輝ら登録メンバーに15人　15日から韓国2連戦　W杯アジア地区予選への強化試合,https://news.yahoo.co.jp/articles/3a2d829bc4890f0d2e972ea0f2865ad6f7ad565d,8/15(土) 13:14
2026-08-15,19:21,TTL,総合,39,弁護士ドットコムニュース,「ずっと一緒にいたくて」死産した子を冷凍庫に3年8カ月、袋には「大好きだよ」…30代母親に有罪判決,https://news.yahoo.co.jp/articles/91ea0421d5d9824ad564eb7bd4f109fa225ea5be,8/15(土) 8:30
2026-08-15,19:21,TTL,総合,40,まいどなニュース,大腸がんで人工肛門…青森ねぶた祭を訪れた松本人志　近影に「気張らず頑張って」「回復を願います」,https://news.yahoo.co.jp/articles/901fc28bd02a12ebcd7bb9263410ff2a02fdbffc,8/15(土) 6:40
