scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,link,date_original
2026-01-07,00:08,TTL,総合,1,まいどなニュース,ステージ4の大腸がん…女性モデルが死去　最後の投稿は「47歳になりましたー」　誕生日当日に明るく報告,https://news.yahoo.co.jp/articles/624445f4961226f74cbe2f3554985e0e8573bbe0,1/6(火) 18:45
2026-01-07,00:08,TTL,総合,2,ENCOUNT,147cm＆Jカップの41歳グラドル、新年のあいさつにファン歓喜「昔より更に美人になってる」「デッカッ！」,https://news.yahoo.co.jp/articles/0b6af40809206f393800d0778b8c14ca2625dd1c,1/6(火) 20:10
2026-01-07,00:08,TTL,総合,3,TBS NEWS DIG Powered by JNN,【訃報】 モデル・古谷恵さん　死去　47歳　21年・ステージ4の大腸がんを公表　雑誌・CMなどで活躍,https://news.yahoo.co.jp/articles/ff7db346d8c121deadf7ddaa6cf620d26a515efe,1/6(火) 19:44
2026-01-07,00:08,TTL,総合,4,スポーツ報知,５２歳でパパになった安住紳一郎アナが「カッコイイ」「驚きました」元タレントと結婚して２年,https://news.yahoo.co.jp/articles/06cb65d84fcd1f44888b7444a538942812dd19ed,1/6(火) 17:15
2026-01-07,00:08,TTL,総合,5,中央日報日本語版,カンボジアで行方不明の中国人女性インフルエンサー、路上で変わり果てた姿で発見,https://news.yahoo.co.jp/articles/9f8e8cf3662bea1099929d8f90d1d471b45b6d1d,1/6(火) 9:49
2026-01-07,00:08,TTL,総合,6,スポニチアネックス,「THE　W」ファイナリスト　悪性リンパ腫＆脳炎を告白、壮絶闘病明かす　後遺症、新たな病も説明,https://news.yahoo.co.jp/articles/195372241c0a8c5e4e6d15ef146080f05aae8ef3,1/6(火) 21:16
2026-01-07,00:08,TTL,総合,7,デイリースポーツ,「やっちまったな（笑）」紅白歌手が生放送で大失態　共演者もあぜん,https://news.yahoo.co.jp/articles/22aed48b8111e853fc1ad62c790d48f3d951b60a,1/6(火) 19:53
2026-01-07,00:08,TTL,総合,8,デイリースポーツ,箱根駅伝Ｖの青学大マネ　６年前に先天性ＱＴ延長症候群　診断の主治医へ投稿「先生に届け～！」,https://news.yahoo.co.jp/articles/be876c5734fc91a676e165b481500a788de12bc1,1/6(火) 21:01
2026-01-07,00:08,TTL,総合,9,デイリースポーツ,この顔になりたい「仰天ニュース」出演の透明感女優にネット騒然　ブレーク女優の最強ビジュに「鬼可愛くねーか！」「可愛すぎてチャンネル変えられない」,https://news.yahoo.co.jp/articles/6f49a2669b00b23a6eaf7a69641b417740799565,1/6(火) 21:52
2026-01-07,00:08,TTL,総合,10,ねとらぼ,【訂正】「まじ？」　マクドナルド、人気メニューの終売に嘆きの声　「えっ！」「ふざけんなまじで」,https://news.yahoo.co.jp/articles/0c28091f37a509efdb564d76f7a9dc6c6bba73ff,1/6(火) 11:55
2026-01-07,00:08,TTL,総合,11,ねとらぼ,海で“のどぐろ”を釣り上げ、口の中を見たら……「なんかいる」　2130万表示の“衝撃の光景”に「これホンマビビる」　投稿者が明かした「まさかのその後」,https://news.yahoo.co.jp/articles/7b5e618f19872158d0aea049c7e883d8d84df27e,1/6(火) 19:30
2026-01-07,00:08,TTL,総合,12,スポーツ報知,モデルの古谷恵さん　４７歳で死去…２０年にステージ４がん判明　友人の浜崎貴司も追悼「めぐみんありがとう」,https://news.yahoo.co.jp/articles/165d333384d0bc55ce3dbd84653f92a52dec534a,1/6(火) 16:56
2026-01-07,00:08,TTL,総合,13,スポニチアネックス,加藤浩次　妻とは「今も一緒に風呂に入る」　夫婦のスキンシップを赤裸々告白「お尻をちょいちょいって…」,https://news.yahoo.co.jp/articles/691b9ddefc9c515035a04a113d188c87767c283f,1/6(火) 22:25
2026-01-07,00:08,TTL,総合,14,スポニチアネックス,ハチミツ二郎が足の切断手術からTV復帰　草野球で代打も　有吉弘行ニコニコ、出川哲朗は涙,https://news.yahoo.co.jp/articles/69dd40f2f986b19238b8922d25d2119d6f4fb7f6,1/6(火) 21:51
2026-01-07,00:08,TTL,総合,15,読売新聞オンライン,１万円分の商品券、全市民に配布へ…総事業費２億９０００万円は全額国からの交付金で,https://news.yahoo.co.jp/articles/a2db523f6cce004586eadfa79a7bfcca1c61e853,1/6(火) 17:00
2026-01-07,00:08,TTL,総合,16,スポニチアネックス,2月上演予定の朗読劇　出演声優が連名で声明　主催者と音信不通「安否確認も取れず」開催懸念,https://news.yahoo.co.jp/articles/4e058a4eef55005e2001a1907a71b85e40874f5d,1/6(火) 20:52
2026-01-07,00:08,TTL,総合,17,スポニチアネックス,陸上・吉居大和、メ～テレ尾形杏奈アナと結婚！中大で知り合い　駅伝スターが人気アナと“ゴールイン”,https://news.yahoo.co.jp/articles/51b1b96fe5e2bc27c7427cff392d4eb813b13f91,1/6(火) 18:49
2026-01-07,00:08,TTL,総合,18,日刊スポーツ,結婚12年目の51歳芸人＆38歳タレント、第１子の誕生を報告「母子ともに健康です」,https://news.yahoo.co.jp/articles/319bfb31dd7af25c9cdd9af497960a4e1e27dc6a,1/6(火) 20:30
2026-01-07,00:08,TTL,総合,19,日刊スポーツ,ミヤネ屋に異変！宮根誠司が経緯説明、スタジオにはたった３人＋モニター１個,https://news.yahoo.co.jp/articles/3f1da24bc7777fb3dba70083413b001ac0d02f68,1/6(火) 18:04
2026-01-07,00:08,TTL,総合,20,朝鮮日報日本語版,訃報：歌手Jin Denimさん29歳が転落死,https://news.yahoo.co.jp/articles/e39b4fce37eea92bf4fcbb0bc57d92ea850edb76,1/6(火) 14:18
